selection_method,n_features,model,selected_features,cv_TN_mean,cv_FP_mean,cv_FN_mean,cv_TP_mean,cv_accuracy_mean,cv_precision_mean,cv_recall_mean,cv_f1_mean,cv_roc_auc_mean,cv_pr_auc_mean,cv_cost_5_mean,cv_cost_10_mean,cv_cost_20_mean,cv_TN_std,cv_FP_std,cv_FN_std,cv_TP_std,cv_accuracy_std,cv_precision_std,cv_recall_std,cv_f1_std,cv_roc_auc_std,cv_pr_auc_std,cv_cost_5_std,cv_cost_10_std,cv_cost_20_std,TN,FP,FN,TP,accuracy,precision,recall,f1,roc_auc,pr_auc,cost_5,cost_10,cost_20
SelectKBest,10,LogisticRegression,"3, 4, 9, 10, 11, 12, 14, 16, 17, 18",21321.0,2.6,16.1,20.8,0.9991245519986632,0.8884445594662986,0.5637387387387387,0.6882514574351529,0.9754356100831126,0.7612575181751036,83.1,163.6,324.6,1.4142135623730951,1.07496769977314,2.5144029554194813,2.485513584307633,0.00014311137223089933,0.04596276637949131,0.06750121867515237,0.059326224573044706,0.01578280392001301,0.06880426960909661,12.982466808909793,25.535160944165682,50.669298177276715,71068,11,56,67,0.9990590151962023,0.8589743589743589,0.5447154471544715,0.6666666666666666,0.970686801368499,0.7091582613153149,291,571,1131
SelectKBest,10,RandomForest,"3, 4, 9, 10, 11, 12, 14, 16, 17, 18",21322.4,1.2,11.0,25.9,0.9994288536355679,0.9566078289526565,0.7018768768768769,0.8079107765728601,0.9225201019239233,0.8066427475472835,56.2,111.2,221.2,1.0749676997731399,0.7888106377466155,2.494438257849294,2.5144029554194813,0.0001163530418379308,0.028626140068252412,0.06746781091092785,0.04452375717541663,0.025509863916269342,0.052516463954583974,12.363027317143825,24.822928469013842,49.761207559481285,71077,2,36,87,0.9994663071262043,0.9775280898876404,0.7073170731707317,0.8207547169811321,0.9143735294188293,0.7983074413509652,182,362,722
SelectKBest,10,XGBoost,"3, 4, 9, 10, 11, 12, 14, 16, 17, 18",21317.3,6.3,14.3,22.6,0.9990356052903302,0.7128640718739603,0.6108108108108108,0.6565740650534742,0.8359507037731786,0.6140454105317128,77.8,149.3,292.3,9.48741856940607,9.569047322835575,11.353413583587976,11.56815552377397,0.000858179387332464,0.36298215917908205,0.3126528519938911,0.3335843755116481,0.17458090245384175,0.32628276048269533,62.385539635043266,118.90056536637849,232.29963887665048,71058,21,38,85,0.9991713715906857,0.8018867924528302,0.6910569105691057,0.74235807860262,0.9465584897692559,0.7145630918416076,211,401,781
SelectKBest,15,LogisticRegression,"0, 1, 3, 4, 5, 7, 9, 10, 11, 12, 14, 16, 17, 18, 19",21321.0,2.6,16.4,20.5,0.9991105072740112,0.886386969840059,0.5556306306306306,0.6813189622627958,0.9748865277648026,0.7587719222477357,84.6,166.6,330.6,1.4142135623730951,1.07496769977314,2.7568097504180447,2.718251071716682,0.00015605507898698153,0.047920175866232394,0.07395599881030815,0.06569977612900979,0.01711439398818037,0.06952061284508229,14.245467115308411,28.01269553454489,55.57217529183707,71068,11,56,67,0.9990590151962023,0.8589743589743589,0.5447154471544715,0.6666666666666666,0.9732477901320608,0.7070114382358098,291,571,1131
SelectKBest,15,RandomForest,"0, 1, 3, 4, 5, 7, 9, 10, 11, 12, 14, 16, 17, 18, 19",21322.4,1.2,10.7,26.2,0.9994428966068758,0.9575870435336509,0.7099849849849851,0.8140328269490136,0.9266076448740336,0.8106361053962565,54.7,108.2,215.2,1.0749676997731399,0.7888106377466155,1.9465068427541912,1.9888578520235065,8.389261866153532e-05,0.027152094096987614,0.05281412808063494,0.032459793263041284,0.024768762683486146,0.050069758152146655,9.452219022242579,19.170579310785346,38.62871700921192,71077,2,48,75,0.9992977725344794,0.974025974025974,0.6097560975609756,0.75,0.922428862789451,0.8011191751452837,242,482,962
SelectKBest,15,XGBoost,"0, 1, 3, 4, 5, 7, 9, 10, 11, 12, 14, 16, 17, 18, 19",21315.4,8.2,15.9,21.0,0.9988717592283323,0.7242688986718921,0.5694444444444445,0.6356858249720414,0.8191415188660314,0.5794480663245872,87.7,167.2,326.2,11.374435272916973,11.554700823089757,10.774970997640782,10.728984626287387,0.0010197970713515993,0.36568834045847176,0.29080958048866934,0.3213423426337825,0.1778612043616805,0.3064393793512145,64.50331602156417,118.29135405617963,225.99154359793593,71073,6,35,88,0.9994241734782731,0.9361702127659575,0.7154471544715447,0.8110599078341014,0.9409083583512997,0.7543148684613612,181,356,706
SelectKBest,30,LogisticRegression,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29",21321.1,2.5,16.0,20.9,0.9991339155137113,0.893135174893756,0.5664414414414415,0.6909399426242651,0.9795762994539953,0.7765570991848025,82.5,162.5,322.5,1.3703203194062978,1.0801234497346435,2.8284271247461903,2.8067379246694513,0.00014845350164498014,0.043929111392213845,0.0760836902174592,0.06369836460414587,0.016068127858465717,0.05853279307210959,14.339146108158292,28.461474936404045,56.735742212862995,71067,12,57,66,0.9990309260975815,0.8461538461538461,0.5365853658536586,0.6567164179104478,0.9705983849185555,0.741361253060871,297,582,1152
SelectKBest,30,RandomForest,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29",21322.7,0.9,11.3,25.6,0.9994288529780638,0.9676843954051965,0.6938438438438437,0.8066283546466184,0.9265760075756531,0.8120950494268502,57.4,113.9,226.9,1.2516655570345725,0.8755950357709132,2.057506581601462,2.011080417199781,9.045082397930214e-05,0.030983871342431395,0.05512985182116023,0.035821990989270025,0.032591741443431736,0.06527241160211562,10.01332445627658,20.283819495680127,40.85054059209825,71077,2,40,83,0.9994101289289626,0.9764705882352941,0.6747967479674797,0.7980769230769231,0.9305827353212967,0.8070462727448954,202,402,802
SelectKBest,30,XGBoost,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29",21316.6,7.0,12.4,24.5,0.9990917738880423,0.8246073976079537,0.6641891891891892,0.7346310552192905,0.8831075729293166,0.6975720892008713,69.0,131.0,255.0,14.033293744995625,13.816254517375137,8.181279443542637,8.14111649454654,0.0010238479727965545,0.2806242117706877,0.22081377887522638,0.2462024450848291,0.15035243168072038,0.25398582947867476,54.46507545615304,95.33449882737447,177.12456382758182,71072,7,33,90,0.9994382180275835,0.9278350515463918,0.7317073170731707,0.8181818181818182,0.939152554062999,0.7583351252324639,172,337,667
